Domain,Event_Type,Speaker_Type,Duration_Hours,Day_Type,Time_Slot,Promotion_Days,Certificate_Flag,Interactivity_Level,Relevance_Friction_1,Relevance_Friction_2,Relevance_Friction_3,Relevance_Friction_4,Relevance_Friction_5,Schedule_Friction_1,Schedule_Friction_2,Schedule_Friction_3,Schedule_Friction_4,Schedule_Friction_5,Fatigue_Friction_1,Fatigue_Friction_2,Fatigue_Friction_3,Fatigue_Friction_4,Fatigue_Friction_5,Promotion_Friction_1,Promotion_Friction_2,Promotion_Friction_3,Promotion_Friction_4,Promotion_Friction_5,Social_Friction_1,Social_Friction_2,Social_Friction_3,Social_Friction_4,Social_Friction_5,Format_Friction_1,Format_Friction_2,Format_Friction_3,Format_Friction_4,Format_Friction_5,Expected_Attendance,Engagement_Level
Tech,Workshop,Industry,2.0,Weekday,Afternoon,10,0,0.6916257417973615,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,119,Medium
Design,Guest_Lecture,Faculty,1.5,Weekday,Evening,10,1,0.905253473998943,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,120,Medium
Tech,Guest_Lecture,Faculty,2.0,Weekday,Morning,6,1,0.5218125114796617,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,77,Medium
Business,Guest_Lecture,Industry,1.0,Weekday,Morning,13,0,0.6809643664063887,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,111,Medium
Design,Workshop,Faculty,1.0,Weekday,Evening,12,1,0.049424062033852745,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,69,Low
Music,Career_Talk,Industry,2.0,Weekend,Evening,9,1,0.39435519477869563,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,117,Medium
Law,Career_Talk,Industry,2.5,Weekend,Afternoon,11,1,0.7706995567230701,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,95,Medium
Business,Career_Talk,Industry,2.0,Weekday,Evening,8,1,0.10898168635308025,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,75,Medium
Business,Guest_Lecture,Alumni,2.0,Weekday,Afternoon,7,0,0.7823974029589774,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,62,Low
Music,Guest_Lecture,Industry,2.0,Weekend,Evening,8,0,0.3082733188006329,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,65,Low
Tech,Guest_Lecture,Industry,2.0,Weekday,Afternoon,12,0,0.35298910795926897,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,138,High
Law,Workshop,Alumni,1.0,Weekday,Evening,1,0,0.6473748579373649,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,43,Low
Tech,Workshop,Industry,1.5,Weekday,Evening,2,0,0.07816397251941354,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,21,Low
Tech,Guest_Lecture,Alumni,2.0,Weekday,Afternoon,7,0,0.6246261010526961,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,56,Low
Music,Workshop,Faculty,1.5,Weekday,Morning,9,0,0.9137239250720531,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,59,Low
Music,Workshop,Faculty,2.0,Weekday,Evening,3,0,0.09376427778132679,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,22,Low
Business,Career_Talk,Faculty,1.5,Weekday,Morning,9,0,0.25299729508178104,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,69,Low
Law,Workshop,Faculty,1.0,Weekend,Evening,1,0,0.013681488807220421,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,59,Low
Law,Guest_Lecture,Industry,1.0,Weekday,Afternoon,4,0,0.517989997140969,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,81,Medium
Law,Guest_Lecture,Alumni,2.0,Weekend,Morning,7,0,0.7309601999119122,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,57,Low
Tech,Workshop,Alumni,1.0,Weekday,Evening,1,1,0.9263982097923963,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,105,Medium
Tech,Career_Talk,Alumni,2.0,Weekday,Afternoon,9,1,0.3680296052247869,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,98,Medium
Law,Workshop,Faculty,1.0,Weekday,Evening,8,1,0.1487512471907093,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,68,Low
Tech,Career_Talk,Faculty,1.5,Weekday,Morning,8,1,0.02908456569282858,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,87,Medium
Music,Guest_Lecture,Faculty,2.0,Weekday,Morning,8,1,0.32500621525374296,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,107,Medium
Law,Workshop,Industry,1.5,Weekend,Morning,10,1,0.5122278124886345,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,104,Medium
Business,Workshop,Faculty,2.0,Weekday,Afternoon,10,0,0.900773402914693,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,92,Medium
Music,Workshop,Faculty,1.0,Weekend,Evening,10,0,0.21645153173023146,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,49,Low
Law,Workshop,Faculty,1.5,Weekday,Afternoon,3,1,0.7812991236574159,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,63,Low
Business,Workshop,Industry,1.5,Weekday,Morning,10,1,0.48091984822586165,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,101,Medium
Business,Career_Talk,Faculty,2.0,Weekday,Evening,3,1,0.8675350159306906,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,36,Low
Law,Workshop,Faculty,1.0,Weekend,Morning,1,0,0.8630651496556291,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,63,Low
Tech,Career_Talk,Industry,1.0,Weekday,Afternoon,14,1,0.8576945926150895,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,125,Medium
Music,Workshop,Alumni,2.0,Weekday,Evening,3,0,0.4013452249706534,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,25,Low
Tech,Career_Talk,Faculty,2.5,Weekday,Evening,2,1,0.346209454148508,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,19,Low
Tech,Workshop,Industry,2.0,Weekday,Afternoon,5,0,0.20728863420430477,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,48,Low
Tech,Workshop,Industry,2.0,Weekday,Evening,14,0,0.22842902519499364,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,37,Low
Music,Guest_Lecture,Faculty,1.5,Weekend,Afternoon,13,0,0.6162292654815128,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,82,Medium
Music,Workshop,Industry,1.5,Weekday,Morning,11,0,0.9619411783787651,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,118,Medium
Music,Career_Talk,Faculty,2.0,Weekend,Morning,3,0,0.6059588560606095,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,85,Medium
Music,Workshop,Industry,2.0,Weekday,Evening,9,1,0.41231748268040036,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,37,Low
Law,Guest_Lecture,Industry,2.0,Weekend,Afternoon,12,0,0.24242200610142373,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,68,Low
Design,Guest_Lecture,Industry,2.0,Weekend,Evening,5,0,0.6519694932222345,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,68,Low
Tech,Guest_Lecture,Faculty,2.0,Weekday,Morning,4,0,0.21094538860603085,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,38,Low
Tech,Workshop,Alumni,1.0,Weekend,Morning,13,1,0.09337606511665508,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,65,Low
Music,Workshop,Alumni,1.0,Weekend,Evening,2,0,0.09353998950407705,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,21,Low
Law,Workshop,Faculty,2.5,Weekday,Evening,13,0,0.8504593713023925,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,40,Low
Design,Workshop,Faculty,1.5,Weekday,Morning,7,1,0.38225561702665634,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,112,Medium
Music,Workshop,Industry,1.0,Weekday,Morning,11,0,0.9403401010245079,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,93,Medium
Design,Career_Talk,Faculty,1.5,Weekday,Evening,6,1,0.496741779588298,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,17,Low
Design,Guest_Lecture,Alumni,1.5,Weekday,Afternoon,10,0,0.6915060838285261,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,56,Low
Design,Guest_Lecture,Industry,2.0,Weekday,Afternoon,13,1,0.8269517146477149,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,168,High
Law,Workshop,Alumni,2.0,Weekday,Morning,7,1,0.8744891729976344,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,113,Medium
Tech,Workshop,Industry,1.0,Weekday,Evening,3,0,0.1625494755595832,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,14,Low
Law,Guest_Lecture,Industry,1.5,Weekday,Morning,2,1,0.21667341741020552,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,56,Low
Tech,Workshop,Faculty,1.0,Weekday,Afternoon,13,0,0.1500916792149417,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,93,Medium
Law,Workshop,Alumni,2.0,Weekend,Afternoon,14,0,0.4455505905298658,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,115,Medium
Business,Guest_Lecture,Industry,1.0,Weekday,Morning,10,1,0.15503454292007335,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,133,High
Tech,Guest_Lecture,Faculty,1.5,Weekday,Afternoon,1,1,0.6508653750142246,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,76,Medium
Tech,Career_Talk,Industry,1.5,Weekday,Afternoon,13,0,0.36282693333933735,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,96,Medium
Tech,Workshop,Faculty,1.5,Weekend,Afternoon,7,1,0.9640715200591846,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,61,Low
Tech,Guest_Lecture,Faculty,1.5,Weekday,Afternoon,4,0,0.8165871862280782,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,50,Low
Music,Workshop,Industry,2.0,Weekday,Morning,6,0,0.7242801116381316,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,62,Low
Design,Workshop,Faculty,1.5,Weekday,Evening,14,0,0.68871267852973,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,83,Medium
Music,Guest_Lecture,Faculty,1.0,Weekday,Afternoon,11,1,0.03960521816735485,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,92,Medium
Music,Workshop,Faculty,1.5,Weekday,Afternoon,9,1,0.08368559531676201,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,54,Low
Law,Guest_Lecture,Industry,1.5,Weekday,Morning,11,0,0.43211098828575545,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,53,Low
Business,Workshop,Industry,1.0,Weekday,Afternoon,12,1,0.9147001311628321,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,141,High
Tech,Workshop,Alumni,2.0,Weekday,Evening,9,1,0.09402818194241236,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,81,Medium
Tech,Career_Talk,Faculty,1.0,Weekend,Evening,5,0,0.42013947312787736,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,121,Medium
Tech,Workshop,Faculty,2.0,Weekday,Evening,2,0,0.7939149132691952,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,44,Low
Music,Guest_Lecture,Faculty,1.0,Weekend,Morning,2,0,0.3197928002295143,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,52,Low
Law,Workshop,Faculty,2.0,Weekday,Evening,4,0,0.9293823888051495,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,60,Low
Tech,Career_Talk,Industry,1.0,Weekday,Morning,11,0,0.9346998322993574,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,91,Medium
Design,Workshop,Faculty,1.5,Weekday,Afternoon,2,0,0.05697398553351096,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,39,Low
Tech,Workshop,Faculty,1.0,Weekend,Afternoon,2,0,0.6164030372427944,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,19,Low
Music,Guest_Lecture,Industry,1.5,Weekend,Morning,14,0,0.14557210405749277,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,68,Low
Law,Workshop,Industry,1.0,Weekday,Afternoon,6,1,0.44101072462808844,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,19,Low
Law,Workshop,Faculty,2.0,Weekday,Morning,2,1,0.8978044341647407,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,126,Medium
Law,Career_Talk,Alumni,1.5,Weekday,Evening,13,1,0.07336705711901514,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,17,Low
Design,Guest_Lecture,Faculty,2.5,Weekday,Evening,14,1,0.9373605837588372,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,88,Medium
Law,Guest_Lecture,Industry,2.0,Weekend,Afternoon,8,0,0.9944602217552688,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,124,Medium
Tech,Guest_Lecture,Alumni,1.5,Weekday,Afternoon,2,0,0.6702456478501859,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,58,Low
Tech,Career_Talk,Industry,2.0,Weekday,Afternoon,9,0,0.35627165702305064,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,89,Medium
Business,Career_Talk,Industry,1.0,Weekday,Evening,13,1,0.2510126608877947,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,44,Low
Business,Guest_Lecture,Alumni,1.5,Weekday,Afternoon,14,0,0.43260768907577274,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,73,Medium
Music,Workshop,Faculty,1.5,Weekend,Afternoon,9,0,0.17982661637882236,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,61,Low
Tech,Workshop,Alumni,2.0,Weekday,Morning,14,1,0.0200564974257863,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,64,Low
Business,Guest_Lecture,Faculty,1.0,Weekend,Morning,12,0,0.06273862611817704,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,60,Low
Music,Career_Talk,Faculty,1.5,Weekday,Afternoon,3,1,0.6635656019988428,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,31,Low
Music,Guest_Lecture,Industry,2.0,Weekday,Evening,9,0,0.020755515349490272,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10,Low
Law,Workshop,Industry,1.5,Weekday,Evening,10,0,0.30146175406595843,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,46,Low
Tech,Workshop,Alumni,1.0,Weekday,Evening,11,1,0.6763893883851917,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,45,Low
Tech,Guest_Lecture,Alumni,1.5,Weekday,Afternoon,8,0,0.17477788614024037,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,45,Low
Business,Career_Talk,Industry,2.0,Weekday,Afternoon,11,0,0.33227701651987507,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,66,Low
Law,Workshop,Industry,1.0,Weekend,Evening,9,1,0.03144160122980366,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,57,Low
Tech,Guest_Lecture,Industry,1.5,Weekday,Afternoon,4,1,0.11242249713100771,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,97,Medium
Law,Guest_Lecture,Industry,2.5,Weekday,Afternoon,7,0,0.2259252279613866,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,100,Medium
Design,Career_Talk,Alumni,2.5,Weekday,Evening,14,0,0.126176894408496,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,28,Low
Tech,Workshop,Industry,1.0,Weekday,Morning,12,0,0.4720599426608848,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,76,Medium
Business,Career_Talk,Industry,1.5,Weekday,Afternoon,10,0,0.12694747576923826,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,87,Medium
Music,Guest_Lecture,Alumni,1.0,Weekday,Afternoon,5,0,0.30518203274449873,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,34,Low
Music,Guest_Lecture,Faculty,2.5,Weekday,Afternoon,3,0,0.7235683146945461,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,23,Low
Law,Workshop,Faculty,1.5,Weekday,Afternoon,4,1,0.6538527394976348,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,74,Medium
Design,Guest_Lecture,Industry,1.5,Weekday,Morning,5,0,0.3829990823081414,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,35,Low
Design,Guest_Lecture,Industry,1.0,Weekend,Morning,14,0,0.931088057325205,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,114,Medium
Design,Workshop,Industry,1.5,Weekday,Evening,8,0,0.7872225489811194,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,112,Medium
Tech,Workshop,Industry,1.0,Weekend,Evening,6,0,0.6071765576567862,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,60,Low
