Domain,Event_Type,Speaker_Type,Duration_Hours,Day_Type,Time_Slot,Promotion_Days,Certificate_Flag,Interactivity_Level,Relevance_Friction_1,Relevance_Friction_2,Relevance_Friction_3,Relevance_Friction_4,Relevance_Friction_5,Schedule_Friction_1,Schedule_Friction_2,Schedule_Friction_3,Schedule_Friction_4,Schedule_Friction_5,Fatigue_Friction_1,Fatigue_Friction_2,Fatigue_Friction_3,Fatigue_Friction_4,Fatigue_Friction_5,Promotion_Friction_1,Promotion_Friction_2,Promotion_Friction_3,Promotion_Friction_4,Promotion_Friction_5,Social_Friction_1,Social_Friction_2,Social_Friction_3,Social_Friction_4,Social_Friction_5,Format_Friction_1,Format_Friction_2,Format_Friction_3,Format_Friction_4,Format_Friction_5,Expected_Attendance,Engagement_Level
Law,Career_Talk,Faculty,1.0,Weekday,Evening,12,0,0.27028115705928424,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,52,Low
Tech,Career_Talk,Faculty,2.5,Weekday,Afternoon,10,1,0.12242940778238354,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,86,Medium
Tech,Career_Talk,Industry,1.0,Weekday,Morning,1,1,0.15322178521580643,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,60,Low
Law,Guest_Lecture,Industry,1.5,Weekday,Evening,10,0,0.7772193978844352,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,129,High
Tech,Guest_Lecture,Industry,1.5,Weekday,Afternoon,7,0,0.20470278802572894,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,81,Medium
Music,Guest_Lecture,Industry,2.0,Weekend,Afternoon,10,1,0.3779914272209338,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,78,Medium
Law,Workshop,Alumni,2.0,Weekday,Afternoon,6,0,0.4364680854436981,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,60,Low
Business,Guest_Lecture,Industry,1.5,Weekday,Evening,6,0,0.06838014633569223,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,48,Low
Music,Guest_Lecture,Alumni,1.0,Weekday,Afternoon,7,0,0.861305105304859,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,76,Medium
Law,Guest_Lecture,Industry,1.0,Weekday,Morning,9,0,0.8457078225492092,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,83,Medium
Business,Workshop,Industry,1.0,Weekday,Afternoon,12,1,0.019154281241957172,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,121,High
Business,Guest_Lecture,Faculty,2.5,Weekday,Afternoon,13,0,0.5921769413806756,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,53,Low
Law,Guest_Lecture,Faculty,1.0,Weekend,Morning,3,1,0.5985157852140588,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,39,Low
Tech,Workshop,Industry,2.5,Weekday,Afternoon,1,1,0.6251059901544157,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,118,High
Music,Career_Talk,Industry,1.0,Weekday,Afternoon,12,0,0.25869191413561055,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,39,Low
Tech,Guest_Lecture,Faculty,2.0,Weekday,Afternoon,11,0,0.1691395252130654,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,74,Medium
Tech,Workshop,Industry,1.5,Weekday,Afternoon,4,0,0.08660342442725277,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,90,Medium
Tech,Workshop,Faculty,2.0,Weekday,Afternoon,2,0,0.7212633762044798,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,84,Medium
Music,Guest_Lecture,Faculty,1.5,Weekday,Afternoon,2,0,0.492341388319144,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,95,Medium
Music,Workshop,Industry,2.0,Weekend,Evening,7,1,0.6127725237155078,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,102,Medium
Music,Career_Talk,Faculty,2.0,Weekday,Afternoon,4,1,0.5576573708517925,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,64,Medium
Music,Workshop,Industry,1.0,Weekday,Afternoon,3,0,0.6579038597569925,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,68,Medium
Law,Workshop,Alumni,2.5,Weekday,Afternoon,12,0,0.7054739370714938,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,72,Medium
Design,Workshop,Alumni,1.5,Weekday,Afternoon,11,0,0.21164405701552202,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,32,Low
Tech,Guest_Lecture,Faculty,1.0,Weekend,Evening,8,1,0.6879717217368355,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,130,High
Tech,Career_Talk,Alumni,1.0,Weekday,Evening,1,1,0.276027437623924,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,45,Low
Music,Career_Talk,Faculty,1.5,Weekday,Morning,2,0,0.027694119768802428,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,14,Low
Law,Guest_Lecture,Industry,2.0,Weekend,Morning,10,0,0.8189058987975801,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,103,Medium
Design,Career_Talk,Industry,2.0,Weekday,Morning,6,0,0.7516195406414797,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,43,Low
Music,Workshop,Industry,1.0,Weekday,Morning,6,1,0.7525308962328342,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,94,Medium
Design,Guest_Lecture,Faculty,2.0,Weekend,Afternoon,12,1,0.3757192575756677,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,58,Low
Design,Career_Talk,Faculty,1.0,Weekday,Morning,4,0,0.7735586415082276,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,77,Medium
Design,Workshop,Faculty,1.0,Weekday,Evening,14,1,0.2899043661771892,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,29,Low
Law,Career_Talk,Faculty,2.0,Weekday,Afternoon,14,0,0.29802031820229047,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,44,Low
Tech,Workshop,Industry,1.0,Weekday,Morning,9,0,0.3659242497100781,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,70,Medium
Law,Workshop,Industry,1.5,Weekday,Morning,5,1,0.7235306882689715,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,103,Medium
Tech,Guest_Lecture,Industry,1.0,Weekend,Morning,14,0,0.24829431398281143,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,76,Medium
Law,Career_Talk,Alumni,1.0,Weekday,Afternoon,3,0,0.07433950498938735,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,67,Medium
Business,Workshop,Industry,1.0,Weekend,Afternoon,13,0,0.2592392583764952,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,49,Low
Tech,Career_Talk,Industry,1.0,Weekday,Afternoon,7,0,0.4592197806557121,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,92,Medium
Tech,Workshop,Industry,1.5,Weekday,Morning,13,0,0.3189005383919814,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,88,Medium
Tech,Guest_Lecture,Alumni,2.5,Weekday,Evening,5,1,0.7197231013567771,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,98,Medium
Tech,Guest_Lecture,Industry,1.0,Weekday,Afternoon,11,1,0.0773979078329533,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,50,Low
Music,Workshop,Faculty,2.0,Weekday,Afternoon,11,0,0.6559442164607759,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,66,Medium
Design,Guest_Lecture,Industry,2.0,Weekday,Afternoon,6,1,0.31380697968564386,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,99,Medium
Music,Guest_Lecture,Industry,1.0,Weekday,Morning,1,0,0.18383977286030784,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,24,Low
Music,Guest_Lecture,Faculty,1.0,Weekday,Evening,5,0,0.23324082915932765,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,10,Low
Law,Workshop,Faculty,1.0,Weekday,Evening,10,0,0.1985594124089194,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,10,Low
Business,Workshop,Faculty,2.0,Weekday,Morning,12,0,0.8609431528362833,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,94,Medium
Tech,Career_Talk,Industry,2.0,Weekday,Afternoon,6,0,0.29545164446442085,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,54,Low
Tech,Guest_Lecture,Alumni,1.0,Weekday,Afternoon,13,1,0.812812550417758,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,160,High
Tech,Career_Talk,Faculty,1.0,Weekday,Afternoon,11,0,0.2901424944887735,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,74,Medium
Music,Guest_Lecture,Alumni,1.0,Weekend,Evening,2,0,0.0037490070191767977,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,39,Low
Law,Career_Talk,Industry,1.5,Weekday,Afternoon,5,1,0.006837675738030957,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,42,Low
Tech,Workshop,Industry,1.0,Weekday,Evening,8,1,0.36773399449518585,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,92,Medium
Design,Guest_Lecture,Industry,1.5,Weekday,Morning,1,1,0.854197457557118,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,99,Medium
Tech,Guest_Lecture,Faculty,1.5,Weekday,Afternoon,4,1,0.5917178791837503,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,67,Medium
Music,Workshop,Faculty,2.0,Weekday,Afternoon,11,0,0.679505857628993,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,64,Medium
Law,Workshop,Faculty,1.0,Weekend,Evening,12,0,0.4146765555273392,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,54,Low
Law,Guest_Lecture,Industry,1.5,Weekday,Afternoon,2,0,0.2753144711368387,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,64,Medium
Law,Career_Talk,Industry,1.5,Weekend,Evening,9,0,0.6429370823320325,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,89,Medium
Design,Guest_Lecture,Industry,2.0,Weekend,Morning,7,1,0.579452222367164,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,81,Medium
Law,Workshop,Faculty,1.5,Weekend,Afternoon,12,1,0.03483041778913276,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,67,Medium
Tech,Career_Talk,Industry,1.5,Weekday,Afternoon,12,0,0.5530955638250473,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,65,Medium
Tech,Workshop,Industry,1.0,Weekday,Afternoon,14,1,0.6307373233214602,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,103,Medium
Business,Workshop,Industry,2.0,Weekend,Evening,13,0,0.3684214195669291,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,139,High
Business,Career_Talk,Industry,1.5,Weekend,Afternoon,11,1,0.3419533686216183,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,70,Medium
Music,Guest_Lecture,Alumni,2.0,Weekday,Afternoon,4,1,0.7874220524455942,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,48,Low
Tech,Career_Talk,Industry,2.0,Weekday,Afternoon,4,0,0.3708772100664286,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,24,Low
Business,Career_Talk,Alumni,2.0,Weekday,Evening,12,0,0.2864475093046742,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,39,Low
Music,Guest_Lecture,Faculty,2.0,Weekday,Morning,10,0,0.78470578509927,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,75,Medium
Music,Workshop,Faculty,1.0,Weekday,Afternoon,11,0,0.9848428368702522,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,95,Medium
Law,Workshop,Faculty,1.0,Weekday,Evening,4,0,0.18478650604382496,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,60,Low
Tech,Career_Talk,Faculty,2.5,Weekend,Morning,13,1,0.3784300458497676,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,63,Low
Tech,Career_Talk,Faculty,2.0,Weekday,Evening,3,0,0.002623373185990374,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,34,Low
Business,Workshop,Industry,2.5,Weekday,Evening,12,1,0.48573357325521804,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,79,Medium
Law,Workshop,Alumni,1.5,Weekend,Morning,5,0,0.2828341136849676,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,25,Low
Tech,Workshop,Industry,2.5,Weekday,Morning,2,0,0.8256240257095407,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,49,Low
Law,Workshop,Industry,1.0,Weekday,Evening,12,0,0.9157719019413545,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,75,Medium
Design,Career_Talk,Industry,1.5,Weekend,Evening,14,0,0.11617084652705678,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,42,Low
Tech,Workshop,Faculty,1.5,Weekday,Afternoon,14,0,0.8638029388213692,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,72,Medium
Business,Workshop,Industry,1.0,Weekend,Evening,1,0,0.21498572385733494,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,67,Medium
Music,Career_Talk,Industry,1.0,Weekday,Morning,7,1,0.30796088918650366,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,75,Medium
Music,Guest_Lecture,Industry,1.0,Weekday,Afternoon,5,1,0.885742571347249,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,65,Medium
Law,Guest_Lecture,Industry,1.0,Weekday,Evening,5,0,0.3652456888709398,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,16,Low
Design,Workshop,Industry,2.5,Weekday,Afternoon,6,0,0.016864913939228288,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,50,Low
Design,Workshop,Alumni,2.5,Weekday,Evening,1,1,0.05180615832830415,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,88,Medium
Design,Workshop,Industry,2.0,Weekday,Morning,7,1,0.33767413026237414,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,81,Medium
Tech,Workshop,Alumni,2.5,Weekend,Afternoon,2,1,0.8844196831656421,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,112,Medium
